Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID
"Owolabi, Olushola E.",58065594700,1,"Agricultural and Biological Sciences
",
"Dada, Bukola F.",57224123896,1,"Medicine
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
",
"Amoko, A.",57477512500,1,"Engineering
",
"Kupoluyi, Ayọdele Solomon",57203746841,1,"Computer Science
",
"Ajayi, Jesutofunmi Adeola",57219902108,1,"Agricultural and Biological Sciences
Earth and Planetary Sciences
Environmental Science
Decision Sciences
",
"Jegede, Eniolayimika",56414867500,2,"Environmental Science
Earth and Planetary Sciences
",
"Nwanze, Jennifer",57564596400,1,"Medicine
",
"Ogolo, Emmanuel Omonigho",14021975100,11,"Earth and Planetary Sciences
Environmental Science
Physics and Astronomy
Energy
Chemical Engineering
Engineering
Decision Sciences
Materials Science
Multidisciplinary
Agricultural and Biological Sciences
",0000-0002-9444-298X
"Abidemi-Iromini, Atilola Olateju",57219351280,1,"Agricultural and Biological Sciences
",
"Olaniyan, Aanuoluwa Ruth",57643516900,1,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
",
"Umar, Shaibu",57204032447,1,"Materials Science
",
"Olasehinde, Emmanuel Folorunso",22035541500,18,"Environmental Science
Engineering
Materials Science
Chemistry
Earth and Planetary Sciences
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Medicine
Physics and Astronomy
Multidisciplinary
",
"Adebo, Taiwo Cosmas",57545925000,2,"Environmental Science
Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Chemistry
",
"Agbaffa, Bamidele Eric",57483289700,3,"Physics and Astronomy
Engineering
Materials Science
Chemistry
",
"Oladeji, O. O.",57103368300,1,"Agricultural and Biological Sciences
Chemical Engineering
",
"Okorie, Emem Imeobong",58085544600,1,"Multidisciplinary
",
"Akinsanmi, Oduje A.",56692729800,1,"Agricultural and Biological Sciences
",
"A Akinwande, Abayomi",58283696200,1,"Engineering
Materials Science
",
"Olabode, Bola Titilayo",35368876400,2,"Computer Science
Mathematics
",
"Makinde, A. I.",57205721530,2,"Social Sciences
Computer Science
",
"Oluokun, Odunayo Oluwakemi",57211435197,5,"Agricultural and Biological Sciences
Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Environmental Science
Chemistry
",
"Doherty, M.",57197920764,1,"Agricultural and Biological Sciences
Environmental Science
",
"Tope-Jegede, H.",57191197765,1,"Agricultural and Biological Sciences
Environmental Science
",
"Ibhadiyi, Leonard J.",57191990884,1,"Materials Science
Energy
Environmental Science
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Mathematics
Chemistry
",
"Egberongbe, O.",6504079334,1,"Agricultural and Biological Sciences
",
"Ehinju, Caleb Ayọdeji",57203745982,1,"Computer Science
",
"Ojo, Tolulope B.",57327937200,1,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Mojisola, Dahunsi Folasade",56040163100,2,"Engineering
Energy
Computer Science
",
"Joseph, O. O.",58254441800,1,"Environmental Science
Materials Science
",
"Ayeni, O. B.",57279647700,1,"Engineering
Agricultural and Biological Sciences
Energy
",
"Binuyo, Lyanuoluwa Yetunde",57205889048,1,"Business, Management and Accounting
",
"Boyinbode, O. F.",58140335400,1,"Computer Science
Social Sciences
Engineering
",
"Ajileye, Oluwatobi Joshua",57931508100,1,"Engineering
Chemical Engineering
",
"Aidi, Ademola K.",57197746829,1,"Earth and Planetary Sciences
",
"Omotunwase, Oyinkansola I.",57222166112,1,"Environmental Science
Medicine
",
"Abiola-Falemu, Joseph Ojo",55203645000,3,"Business, Management and Accounting
Engineering
",
"Ogunrinde, Oluwaseun Bosede",57224212293,1,"Computer Science
",
"Ogunmola, Oluwafemi J.",57221492476,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Ifedayo, Oluwalola Oluwatuyi",57219658741,1,"Agricultural and Biological Sciences
",
"Farinu, Esther Pelumi",58064233300,1,"Environmental Science
Earth and Planetary Sciences
Social Sciences
",
"Omotayo, Yusuff M.",57091721200,2,"Environmental Science
Agricultural and Biological Sciences
",
"Kingsley, Chukwuma",57221728575,5,"Engineering
Business, Management and Accounting
Mathematics
Computer Science
",
"Odutolu, A.",57292404900,1,"Agricultural and Biological Sciences
",
"Olukunle, Olawale J.",6507931440,13,"Engineering
Agricultural and Biological Sciences
Energy
Chemical Engineering
Environmental Science
Earth and Planetary Sciences
",
"Alfred, Simeon Dada",38760948600,1,"Social Sciences
Agricultural and Biological Sciences
",
"Babarinsa, Samuel Olukayode",57196425360,4,"Materials Science
Engineering
Physics and Astronomy
Chemical Engineering
Chemistry
",
"Mebude, S. O.",58150756900,1,"Engineering
",
"Omotehinse, Adeyinka Oluwayomi",57205334271,10,"Earth and Planetary Sciences
Environmental Science
Social Sciences
Engineering
Energy
Economics, Econometrics and Finance
Medicine
Materials Science
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
",
"Olonimoyo, Esther A.",57221967990,1,"Physics and Astronomy
Earth and Planetary Sciences
Materials Science
Chemical Engineering
Environmental Science
Engineering
",
"Bolade, Mathew Kolawole",6507036517,15,"Agricultural and Biological Sciences
Engineering
Chemical Engineering
Chemistry
Computer Science
Social Sciences
Multidisciplinary
",0000-0003-3133-4532
"Famakin, Opeyemi",57192202424,1,"Agricultural and Biological Sciences
",
"Omowaye, Adeola John",23467377700,21,"Engineering
Mathematics
Physics and Astronomy
Materials Science
Chemical Engineering
Earth and Planetary Sciences
Medicine
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Chemistry
Computer Science
",
"Adeyemo, O.",57577237700,1,"Computer Science
Engineering
Mathematics
",
"Alao, A.",24066288900,1,"Immunology and Microbiology
Agricultural and Biological Sciences
Medicine
",
"Epebinu, Eunice M.",57931761500,1,"Environmental Science
Energy
",
"Adenola, Mayowa",57219604322,1,"Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Engineering
Chemistry
Computer Science
",
"Adenusi, Dauda",57188843954,1,"Computer Science
",
"Jeje, S. O.",57188653079,16,"Medicine
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Nursing
Neuroscience
",
"Adeloye, Jumoke Bukola",57218546941,5,"Agricultural and Biological Sciences
Engineering
Chemical Engineering
",
"Idoko, V. I.",36489524100,1,"Mathematics
",
"Olaseinde, Oluwatoyin Adenike",55355863900,4,"Materials Science
Chemistry
Physics and Astronomy
Earth and Planetary Sciences
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Medicine
",
"Ajijola, T. O.",57204549333,1,"Computer Science
Engineering
Social Sciences
",
"Sunday, Michael Oluwatoyin",57208238508,7,"Environmental Science
Medicine
Earth and Planetary Sciences
Chemistry
",
"Chuckwuemaka, Prosper",57797559600,1,"Chemistry
",
"Ayoko, Olajumoke M.",57203243074,1,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
",
"Abata, Emmanuel O.",35184790000,2,"Materials Science
Environmental Science
Engineering
",
"Emmanuel, G. O.",57216178339,1,"Engineering
",
"Farinu, Omobola Muyiwa",58236426800,1,"Immunology and Microbiology
Medicine
",
"Fagbemi, Tayo Nathaniel",21643580300,54,"Agricultural and Biological Sciences
Chemistry
Biochemistry, Genetics and Molecular Biology
Nursing
Medicine
Chemical Engineering
Engineering
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Business, Management and Accounting
Computer Science
",
"Ebenezer, Odji",57219650236,1,"Social Sciences
Computer Science
",
"Olasehinde, Folorunsho Emmanuel",57211509674,1,"Environmental Science
Materials Science
",
"Akinyele, Bolaji P.",57222252702,1,"Physics and Astronomy
Earth and Planetary Sciences
Materials Science
Chemical Engineering
Environmental Science
Engineering
",
"Agboola, Oluwanifemi Peter",57217827829,1,"Business, Management and Accounting
Social Sciences
",
"Ikuomola, Bayowa T.",57218169908,2,"Environmental Science
Energy
",
"Aboluje, Oluwatosin Olatunbosun",57219534125,1,"Decision Sciences
Business, Management and Accounting
",
"Ayandare, Ayankola Ibrahim",53863184500,1,"Social Sciences
",
"Akinbobola, Ademola",56086852100,3,"Earth and Planetary Sciences
Environmental Science
Social Sciences
",
"Ijalana, O. R.",23388946800,1,"Agricultural and Biological Sciences
",
"T.p, Omayone",57222196916,1,"Medicine
Biochemistry, Genetics and Molecular Biology
",
"Oyekunle, Ifeoluwa Peter",57297117600,6,"Environmental Science
Materials Science
Engineering
Agricultural and Biological Sciences
Physics and Astronomy
Energy
Chemistry
",
"Adeodu, Ayodeji A.",57210887834,1,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Thompson, Olaniran Anthony",57223036641,2,"Agricultural and Biological Sciences
Energy
Economics, Econometrics and Finance
Environmental Science
",
"Aborisade, Abiola Titilola",16836219400,14,"Agricultural and Biological Sciences
",
"Ogunsade, Adeike Fadekemi",57869261800,2,"Environmental Science
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
",
"Omoyungbo, Temitope",57225020369,1,"Arts and Humanities
Social Sciences
",
"Emiloju, Arijesuyo A.",55213849900,1,"Social Sciences
",
"Adeyemi, Babatunde",22978652800,17,"Earth and Planetary Sciences
Computer Science
Physics and Astronomy
Environmental Science
Decision Sciences
Mathematics
Engineering
Energy
Materials Science
Multidisciplinary
Social Sciences
",
"Akinmoladun, Afolabi Clement",14038870500,75,"Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Environmental Science
Chemical Engineering
Neuroscience
Immunology and Microbiology
Nursing
Engineering
Multidisciplinary
Chemistry
Veterinary
",0000-0003-0901-1235
"Ajayi, Adeola Temitayo",57221564104,6,"Biochemistry, Genetics and Molecular Biology
Medicine
Materials Science
Chemical Engineering
Engineering
Agricultural and Biological Sciences
Chemistry
",
"Michael, Ogundiran",58144741500,1,"Earth and Planetary Sciences
Engineering
Environmental Science
",
"Micheal, Omojola",57225019380,1,"Mathematics
",
"Bello, Olawale Ramon",55966393700,3,"Earth and Planetary Sciences
Physics and Astronomy
Materials Science
Mathematics
Engineering
Chemistry
",
"Ejemen, Idoko Joy",56003851500,2,"Agricultural and Biological Sciences
",
"Akinola, Joshua Oluwatobi",57211170807,4,"Multidisciplinary
Environmental Science
Agricultural and Biological Sciences
Earth and Planetary Sciences
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Medicine
",0000-0003-0408-9973
"Akinduro, Adebayonle",58310890800,1,"Pharmacology, Toxicology and Pharmaceutics
",
"Faloye, Yetunde M.",53363432900,1,"Medicine
Nursing
",
"Folorunso, Oluwaseun M.",57208705112,1,"Agricultural and Biological Sciences
",
"Adediji, Modupeoluwa Abisoluwa",57971591800,1,"Energy
",
"Adesida, Patrick Adeniyi",57214750076,2,"Earth and Planetary Sciences
Engineering
",
"Sorungbe, Adewale A.",8680859000,7,"Environmental Science
Nursing
Biochemistry, Genetics and Molecular Biology
Medicine
Earth and Planetary Sciences
Social Sciences
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
",
"Ibidunmoye, Emmanuel O.",56369345200,2,"Computer Science
",
"Adelabu, Adesola Adebusayo",57223174319,1,"Multidisciplinary
",
"Alabi, T. A.",57212384082,1,"Engineering
Materials Science
",
"Akeredolu, B. E.",57200689041,3,"Environmental Science
Earth and Planetary Sciences
Multidisciplinary
",
"Udekwe, Charles",57796429700,1,"Computer Science
Energy
Social Sciences
Decision Sciences
",
"Atoye, Ayodele M.",57224500606,1,"Engineering
",
"Adeoye, J. K.",57366444300,1,"Agricultural and Biological Sciences
",
"Akinlalu, Ayokunle Adewale",57200690486,16,"Environmental Science
Earth and Planetary Sciences
Multidisciplinary
Engineering
Medicine
Business, Management and Accounting
Materials Science
Social Sciences
Chemistry
",
"Omiyale, Babatunde Olamide",57214799784,9,"Engineering
Chemistry
Materials Science
Environmental Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Earth and Planetary Sciences
Mathematics
Medicine
Physics and Astronomy
",
"Ogunwole, Germaine Akinola",57208108223,6,"Environmental Science
Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Engineering
Materials Science
Energy
Multidisciplinary
Agricultural and Biological Sciences
",
"Odeyemi, Idowu B.",7801462537,6,"Earth and Planetary Sciences
Environmental Science
Multidisciplinary
Social Sciences
",
"Ayeni, David",58393672600,1,"Earth and Planetary Sciences
Physics and Astronomy
Engineering
",
"Ajayi, Ayodele Martins",57212017191,4,"Agricultural and Biological Sciences
Engineering
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Environmental Science
",
"Fabunmi, Goodness Osehotue",57212376007,1,"Agricultural and Biological Sciences
",
"Adedokun, A. D.",57191668777,1,"Agricultural and Biological Sciences
",
"Ajibade, Omotoyinbo Joseph",36343462500,4,"Materials Science
Engineering
Physics and Astronomy
Energy
",
"Adedayo, Tolulope Esther",57225208942,1,"Chemistry
Materials Science
Environmental Science
",
"Oladeji, O. S.",57213104130,1,"Earth and Planetary Sciences
Environmental Science
",
"Agbolade, O. A.",57219813509,1,"Computer Science
Engineering
Energy
Decision Sciences
",
"Afolabi, Oladapo A.",6603878597,25,"Agricultural and Biological Sciences
Chemistry
Medicine
Biochemistry, Genetics and Molecular Biology
Engineering
Chemical Engineering
Environmental Science
Energy
Immunology and Microbiology
Nursing
",
"Aluko, Oritoke Modupe",57076362600,18,"Pharmacology, Toxicology and Pharmaceutics
Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
Environmental Science
Chemical Engineering
Multidisciplinary
Agricultural and Biological Sciences
Chemistry
",0000-0002-6385-8229
"Stephen, Seyi Segun",58089326600,3,"Engineering
Business, Management and Accounting
Economics, Econometrics and Finance
",
"Ola, Peter Sunday",56925212600,8,"Earth and Planetary Sciences
Energy
Environmental Science
Chemical Engineering
Chemistry
Agricultural and Biological Sciences
",
"Ibironke Okunlola, A.",36168105700,1,"Agricultural and Biological Sciences
",
"Ajayi, George Olarewaju",55889075300,2,"Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
",
"Ogunsuyi, Helen Olayinka",6503966496,5,"Chemistry
Materials Science
Environmental Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Mathematics
",
"Arowosoge, Ifeoluwa A.",6507798186,2,"Agricultural and Biological Sciences
Chemical Engineering
Immunology and Microbiology
Environmental Science
",
"Okunlola, J. O.",56636855400,3,"Agricultural and Biological Sciences
Social Sciences
Environmental Science
",
"Ayenuro, T. G.",57219204635,1,"Earth and Planetary Sciences
Energy
",
"Abiola, Olalekan",56600363000,7,"Earth and Planetary Sciences
Energy
Physics and Astronomy
Materials Science
",
"Cyrus, Ekundayo Temitope",56709548400,2,"Immunology and Microbiology
Agricultural and Biological Sciences
Medicine
",
"Okuku, I. E.",16414312000,1,"Agricultural and Biological Sciences
Environmental Science
",
"Odusote, Y. A.",16064423400,26,"Materials Science
Physics and Astronomy
Engineering
Chemistry
Environmental Science
Mathematics
Multidisciplinary
Medicine
Energy
Chemical Engineering
Agricultural and Biological Sciences
",
"Omoba, Olufunmilayo Sade",56784366400,37,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Nursing
Medicine
Engineering
Multidisciplinary
Immunology and Microbiology
Environmental Science
Health Professions
Social Sciences
Chemical Engineering
Chemistry
",
"Esukpa, Victory Uwuma",57297813400,1,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Abegunde, Oluwaseun A.",57204940670,1,"Medicine
",
"Ayodele, Olusiji Samuel",55354364600,7,"Environmental Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
Multidisciplinary
Engineering
Medicine
Physics and Astronomy
Materials Science
Chemical Engineering
Social Sciences
",
"Igbaroola, B.",57217869243,1,"Chemical Engineering
Chemistry
",
"Bolarinwa, Tolulope O.",57216688927,1,"Environmental Science
",
"Adetunji, Ayodeji V.",37116506100,1,"Agricultural and Biological Sciences
",
"Ademosun, Mary T.",57217384912,1,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
",
"Adewumi, J. R.",26031266400,29,"Environmental Science
Engineering
Agricultural and Biological Sciences
Earth and Planetary Sciences
Immunology and Microbiology
Materials Science
Economics, Econometrics and Finance
Business, Management and Accounting
Chemical Engineering
Computer Science
Mathematics
Decision Sciences
Physics and Astronomy
Energy
Multidisciplinary
Chemistry
",0000-0002-3028-5428
"Bamisaiye, Oluseyi Adunola",57194188530,7,"Earth and Planetary Sciences
Environmental Science
Social Sciences
Computer Science
Engineering
Physics and Astronomy
Materials Science
Chemical Engineering
Multidisciplinary
",
"Alo, A. A.",57506540600,1,"Agricultural and Biological Sciences
",
"Owabumoye, S. A.",55321718000,1,"Mathematics
Decision Sciences
",
"Oluyemisi, Ogundare Ayodele",57193379469,1,"Medicine
",
"Adebayo, Alokan Julius",58256394000,1,"Environmental Science
",
"Tola, F. A.",57408292300,1,"Agricultural and Biological Sciences
",
"Alalade, A.",57478270000,1,"Engineering
",
"Oguntuase, O. S.",15751869800,1,"Agricultural and Biological Sciences
Medicine
Nursing
",
"Nlekerem, Chidinma Martha",57142539400,2,"Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
",
"Gbode, Imoleayo Ezekiel",57003664000,18,"Earth and Planetary Sciences
Environmental Science
Energy
Business, Management and Accounting
Economics, Econometrics and Finance
Social Sciences
Agricultural and Biological Sciences
Decision Sciences
",
"Popoola, Jide Julius",36669186400,12,"Engineering
Computer Science
Chemical Engineering
Social Sciences
Multidisciplinary
Mathematics
",
"Okoli, Johnson C.",57475679000,1,"Computer Science
Business, Management and Accounting
",
"Abe, Sunday James",56413854600,1,"Environmental Science
Earth and Planetary Sciences
",
"Odetokun, S. M.",6508314234,1,"Agricultural and Biological Sciences
",
"Akinbola, Ifeoluwa A.",55960500700,2,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Chemistry
Medicine
",
"Oluwagbohunmi, Adeniyi",58086828600,1,"Agricultural and Biological Sciences
Environmental Science
",
"Omotoso, E. T.",57329525000,2,"Physics and Astronomy
Mathematics
Chemistry
",
"Oyelola, Alabi Oladunni",57223275673,2,"Engineering
Materials Science
",
"Adeyeye, O. D.",57204189923,1,"Engineering
Computer Science
",
"Oladipupo, Olumayowa R.",57219115518,1,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
",
"Olusa, Adekemi Opeyemi",57203841051,1,"Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
",
"Ajala, Kamaldeen A.",55203617300,2,"Engineering
",
"Oluwadare, G.",57477767100,1,"Engineering
",
"Adebomi, Joshua I.",57218616094,1,"Materials Science
Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
",
"Erhabor, Stephen Chibuike",57927765200,1,"Earth and Planetary Sciences
",
"Ibikunle, Sunday Babatunde",24179302600,10,"Environmental Science
Medicine
Health Professions
Physics and Astronomy
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
",0000-0001-5896-6260
"Akomolafe, Toyin L.",35361664100,4,"Pharmacology, Toxicology and Pharmaceutics
Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Agricultural and Biological Sciences
",
"Akinyede, Raphael Olufemi",26326752700,5,"Engineering
Computer Science
Economics, Econometrics and Finance
Business, Management and Accounting
Social Sciences
",
"Unu, D.",36660052400,1,"Agricultural and Biological Sciences
Environmental Science
",
"Adebambo, Olusegun Hameed",57221644762,1,"Business, Management and Accounting
Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
",
"Bamidele, Oluwafemi Samuel",58463912700,1,"Immunology and Microbiology
",
"Ologun, O. T.",57905226300,1,"Earth and Planetary Sciences
",
"Fadairo, Felix Bukola",57221919879,1,"Medicine
",
"Gbadamosi, T. K.",57209149898,1,"Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
",
"Ojo, T. J.",24178787200,1,,
"Ajeigbe, A. J.",54402278100,1,"Engineering
",
"Ogedengbe, Tunde Isaac",14016364500,17,"Engineering
Materials Science
Environmental Science
Chemistry
Computer Science
Earth and Planetary Sciences
Biochemistry, Genetics and Molecular Biology
Economics, Econometrics and Finance
Mathematics
Medicine
Physics and Astronomy
Chemical Engineering
Multidisciplinary
Social Sciences
",
"Com, Wood",14038722600,1,"Agricultural and Biological Sciences
Materials Science
",
"Oyedoyin, Oyeyiola",57193378592,1,"Computer Science
",
"Olusola, I. O.",57194387958,2,"Physics and Astronomy
Engineering
Materials Science
",
"Smith, M. A.K.",55568518699,2,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Oluayo, Bello Olusoji A.",57891073000,1,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
",
"Idowu, Timothy Oluwadare",58142526800,2,"Engineering
Earth and Planetary Sciences
Computer Science
Environmental Science
",
"Nathanniel, Jannie N.",58041516400,1,"Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
",
"Adeyemo, A. I.",8688873200,4,"Agricultural and Biological Sciences
Environmental Science
Veterinary
",
"Fasoranbaku, Olusoga Akin",55628104800,3,"Decision Sciences
Business, Management and Accounting
Mathematics
",
"Tolulope, Ayodele",57193387061,1,"Computer Science
",
"Olaoluwa, Eresanya Emmanuel",57881090500,1,"Environmental Science
",
"Adegbembo, Promise Aramide",57203638856,1,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
",
"Akinyede, Olufemi R.",58246632800,1,"Engineering
Computer Science
Economics, Econometrics and Finance
",
"Balogun, Sikiru Oladele",56520498600,1,"Environmental Science
Energy
",
"Oluyede, Dare M.",57207962398,3,"Environmental Science
Earth and Planetary Sciences
Multidisciplinary
",
"Simon-Oke, Adepeju Iyabo",58069562800,1,"Medicine
Immunology and Microbiology
",
"Oluleye, Daniel Oluwagbenga",57219865195,1,"Computer Science
",
"Olung, Nzube F.",57218681348,3,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Medicine
Neuroscience
",
"Ayenero, Michael E.",58475350800,1,"Biochemistry, Genetics and Molecular Biology
Medicine
",
"Adetuyi, Fatusa C.",8701388200,27,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
Medicine
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Engineering
Nursing
Multidisciplinary
Chemistry
",
"Awheme, O.",23977414900,2,"Materials Science
Engineering
Chemistry
Chemical Engineering
",
"Smith, M. A.K.",55568518694,1,"Agricultural and Biological Sciences
",
"Okunlola, Salihaat Toyin",58532040600,1,"Biochemistry, Genetics and Molecular Biology
",
"Omoniyi, Elabiyi Michael",57851191600,1,"Engineering
Materials Science
",
"Olalusi, Ayoola Patrick",37108312500,14,"Agricultural and Biological Sciences
Engineering
Environmental Science
Energy
Earth and Planetary Sciences
Chemical Engineering
Chemistry
",0000-0003-4564-6182
"Oboh, Ganiyu",6603569317,433,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Nursing
Chemistry
Environmental Science
Neuroscience
Chemical Engineering
Engineering
Immunology and Microbiology
Social Sciences
Multidisciplinary
Earth and Planetary Sciences
Physics and Astronomy
Computer Science
Veterinary
Materials Science
Mathematics
",0000-0001-5167-9779
"Alabi, E. O.",57656529500,1,"Agricultural and Biological Sciences
",
"Oyewole, Ganiyat Ololade",57219940551,2,"Agricultural and Biological Sciences
Nursing
",
"Bello, Akinola Akintokunbo",57216787216,2,"Environmental Science
Earth and Planetary Sciences
Physics and Astronomy
Materials Science
Chemical Engineering
Agricultural and Biological Sciences
Engineering
",
"Popoola, M. O.",57727104000,1,"Engineering
Materials Science
Business, Management and Accounting
",
"Akinyele, Benjamin O.",15053030900,12,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Computer Science
",
"Akande, Sunmbo Phillip",58534083400,1,"Materials Science
Engineering
",
"Oyetunji, Akinlabi",36027201700,29,"Materials Science
Engineering
Chemical Engineering
Computer Science
Physics and Astronomy
Energy
Chemistry
Environmental Science
Mathematics
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Earth and Planetary Sciences
",
"Oladapo, Ilesanmi Michael",57189455690,2,"Environmental Science
Earth and Planetary Sciences
",
"Durojaye, E.",57217162836,1,"Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
",
"Afe, Oluwafunmilola Eunice",57224469725,2,"Agricultural and Biological Sciences
Veterinary
",
"Oladele, Blessing Bosede",57202346751,7,"Environmental Science
Medicine
Chemistry
Pharmacology, Toxicology and Pharmaceutics
Health Professions
Decision Sciences
Chemical Engineering
Agricultural and Biological Sciences
Computer Science
",
"Akinyokun, Oluwole Charles",7801576558,18,"Computer Science
Social Sciences
Engineering
Medicine
Mathematics
Materials Science
Biochemistry, Genetics and Molecular Biology
Environmental Science
Decision Sciences
",
"Ogunleye, Mukaila Bamidele",35105637800,2,"Engineering
Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
",
"Odia, Onoriode Austin",58307764900,1,"Energy
Social Sciences
",
"Ogunduyile, Sunday Roberts",34875448000,3,"Arts and Humanities
Business, Management and Accounting
Social Sciences
Economics, Econometrics and Finance
",
"Ekundayo, Fatuyi Olanipekun",17134728300,11,"Agricultural and Biological Sciences
Immunology and Microbiology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",
"Arijesuyo, Amos E.",56005861200,1,"Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
",
"Oyediran, Abiola Oluwasogo",58497397300,1,"Engineering
Earth and Planetary Sciences
Environmental Science
",
"Olugbenga, Oluwasina",56422156000,2,"Environmental Science
Chemical Engineering
Multidisciplinary
",
"Sunday, Isaac Olawale",58020133000,1,"Computer Science
Mathematics
Engineering
",
"Adebayo, Tolulope",58027901300,1,"Computer Science
Business, Management and Accounting
",
"Ayanda, O.",57477384400,1,"Engineering
",
"Fo, Ekundayo",57195397796,1,"Agricultural and Biological Sciences
",
"Adeoluwa, Yetunde M.",57205667651,6,"Environmental Science
Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Agricultural and Biological Sciences
Chemistry
",
"Amire, Oludare Philips",36457590100,1,"Agricultural and Biological Sciences
Environmental Science
",
"Adeleke, Oluwakemi V.",57240417000,4,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
",
"Dairo, D. O.",57194340440,2,"Business, Management and Accounting
",
"Jimoh, Yomade Ayodeji",57355857400,2,"Nursing
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Medicine
",
"Umunakwe, Reginald",58318978400,1,"Materials Science
",
"Ayeni, J. A.",35387458000,1,"Engineering
",
"Owolabi, Adebayo O.",55994683900,4,"Engineering
Multidisciplinary
Social Sciences
Environmental Science
",
"Olatubosun, Olabode",55389292000,3,"Computer Science
Engineering
Business, Management and Accounting
Decision Sciences
",
"Obalokun, B. M.",13404211800,1,"Agricultural and Biological Sciences
",
"Odiase, Frank Muhammed",58522871000,1,"Environmental Science
",
